100
6
0	46	9	0	0	0	40
0	26	10	1	0	0	24
1	47	13	1	0	1.9e+03	40
0	35	11	0	0	0	40
0	34	9	1	0	0	50
0	58	5	0	0	0	40
0	26	3	1	0	0	30
0	41	9	0	0	0	40
0	23	9	1	0	0	40
1	48	14	1	0	2.4e+03	60
0	60	10	0	0	0	40
0	32	8	0	0	0	40
0	42	11	1	0	0	50
0	32	9	1	0	0	60
0	22	10	0	0	0	22
1	29	11	1	0	0	60
0	43	13	1	0	0	40
1	48	13	1	7.7e+03	0	40
0	56	6	1	0	0	40
0	34	13	0	0	0	35
0	39	1	0	0	0	20
0	65	9	1	0	0	40
0	50	10	1	0	0	48
0	25	12	0	0	0	32
1	33	13	1	0	0	40
0	32	13	1	0	0	50
0	26	9	1	0	0	65
0	27	13	0	0	0	32
0	33	16	1	0	0	40
0	18	8	1	0	0	30
0	32	7	1	0	0	40
1	26	13	1	0	0	70
0	60	10	0	0	0	40
0	38	9	1	0	0	99
0	21	9	1	0	0	40
0	41	4	0	0	0	40
0	25	9	1	0	0	70
0	40	13	1	0	0	40
0	45	13	0	0	0	40
0	26	9	1	5.7e+03	0	40
1	52	13	1	0	0	52
0	48	10	0	0	0	50
1	48	14	1	0	0	40
0	24	9	1	0	0	50
1	32	3	1	0	0	45
0	28	9	1	0	0	40
1	50	13	1	0	0	50
0	21	10	1	0	0	10
0	36	9	1	0	0	40
1	34	15	1	0	0	40
0	20	9	0	0	0	45
0	39	13	1	0	0	40
0	52	9	1	0	0	40
1	53	9	1	0	0	40
0	50	9	1	0	0	40
1	55	13	1	0	0	40
0	46	10	0	0	0	40
0	44	8	0	0	0	40
0	21	10	0	0	0	20
0	29	14	0	0	0	20
1	50	4	1	0	2e+03	63
0	21	10	0	0	0	20
0	23	12	1	0	0	20
0	22	13	1	0	0	40
0	22	9	1	0	0	40
0	42	9	0	0	0	50
1	55	13	1	0	0	40
0	55	9	1	0	0	40
0	19	10	0	0	0	40
0	36	9	0	0	0	40
1	34	10	0	7.7e+03	0	6
0	24	10	1	0	0	54
0	32	9	0	0	0	40
0	49	4	1	0	0	45
0	24	6	0	0	0	40
0	31	11	1	0	0	40
0	43	9	0	0	1.8e+03	24
0	18	7	1	0	0	15
0	19	9	1	0	0	30
0	19	10	0	0	0	30
0	31	9	0	0	0	40
0	39	9	0	0	0	40
0	22	9	1	0	0	40
0	40	12	0	1.5e+03	0	32
0	28	9	1	0	0	40
1	36	13	1	0	0	50
0	32	2	1	0	0	21
0	25	10	1	0	0	40
0	31	9	1	0	0	40
0	21	10	0	0	0	20
0	31	9	0	0	0	8
0	35	9	0	0	0	35
0	52	10	0	0	0	40
0	23	9	0	0	0	50
0	30	9	1	0	0	66
0	33	10	1	0	0	40
0	35	9	0	0	0	40
1	43	10	1	0	0	40
1	40	9	1	0	1.9e+03	45
0	20	10	0	0	0	40
